path,area,lines,direct_absolute_importers,first_docstring_line
app/__init__.py,existing-backend-and-shared-analysis,1,0,
app/main.py,existing-backend-and-shared-analysis,134,3,
app/modules/__init__.py,existing-backend-and-shared-analysis,1,1,
app/modules/_template/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/_template/router.py,existing-backend-and-shared-analysis,4,0,
app/modules/_template/schemas.py,existing-backend-and-shared-analysis,10,1,
app/modules/_template/service.py,existing-backend-and-shared-analysis,6,0,
app/modules/assets/router.py,existing-backend-and-shared-analysis,25,1,
app/modules/auth/__init__.py,existing-backend-and-shared-analysis,0,0,
app/modules/auth/dependencies.py,existing-backend-and-shared-analysis,26,5,
app/modules/auth/router.py,existing-backend-and-shared-analysis,126,1,
app/modules/auth/schemas.py,existing-backend-and-shared-analysis,44,1,
app/modules/auth/service.py,existing-backend-and-shared-analysis,114,4,
app/modules/dev_mix/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/dev_mix/router.py,existing-backend-and-shared-analysis,604,1,
app/modules/dj_control/__init__.py,existing-backend-and-shared-analysis,1,7,"DJ Control module: dance-style recommendation, energy-based sequencing, mixing, cutting, and FX."
app/modules/dj_control/auto_mixer/__init__.py,existing-backend-and-shared-analysis,12,0,Automatic DJ mixer strategy selection for HarBeat v3.2 plans.
app/modules/dj_control/auto_mixer/feature_analyzer.py,existing-backend-and-shared-analysis,204,7,Feature extraction for automatic DJ mixer strategy selection.
app/modules/dj_control/auto_mixer/mixing_strategies.py,existing-backend-and-shared-analysis,263,4,EQ-band envelope generation for the 5 automatic DJ mixer strategies.
app/modules/dj_control/auto_mixer/strategy_selector.py,existing-backend-and-shared-analysis,99,5,Decision tree for the HarBeat automatic DJ mixer package.
app/modules/dj_control/band_analysis.py,existing-backend-and-shared-analysis,76,4,Lightweight band-profile helpers for DJ EQ band mixing.
app/modules/dj_control/cut_strategy.py,existing-backend-and-shared-analysis,1054,1,Live cut strategies — runtime decisions made while a track is playing.
app/modules/dj_control/dance_style.py,existing-backend-and-shared-analysis,924,5,Dance-style scoring v3: weighted fingerprint over the rich DJ feature set.
app/modules/dj_control/default_mix/__init__.py,existing-backend-and-shared-analysis,6,2,Default DJ mix branch.
app/modules/dj_control/default_mix/playlist_selector.py,existing-backend-and-shared-analysis,307,1,Default playlist ordering based on pair compatibility.
app/modules/dj_control/default_mix/reference_renderer.py,existing-backend-and-shared-analysis,256,0,Reference renderer for the default automatic DJ path.
app/modules/dj_control/default_mix/transition_planner.py,existing-backend-and-shared-analysis,840,1,Default transition planner.
app/modules/dj_control/energy_hiphop.py,existing-backend-and-shared-analysis,253,4,Street-dance DJ energy scoring.
app/modules/dj_control/energy_streetdance.py,existing-backend-and-shared-analysis,303,0,"Street-dance energy v2 — fingerprint-driven, style-aware."
app/modules/dj_control/eq_transition_presets.py,existing-backend-and-shared-analysis,68,2,Preset EQ/fader envelopes for MP3-based DJ band mixing.
app/modules/dj_control/eq_transition_strategy.py,existing-backend-and-shared-analysis,205,2,Generate MP3-only DJ EQ band mix transition plans.
app/modules/dj_control/fx_synth.py,existing-backend-and-shared-analysis,450,1,Programmatic synthesis of street-dance DJ FX one-shots.
app/modules/dj_control/mix_profile.py,existing-backend-and-shared-analysis,163,1,Build mix_profile_v1 from existing LibrarySong analysis fields.
app/modules/dj_control/mixer_rules.py,existing-backend-and-shared-analysis,1010,0,Mixing rules.
app/modules/dj_control/router.py,existing-backend-and-shared-analysis,1038,2,"DJ Control router — exposes dance-style recommendation, energy sequencing,"
app/modules/dj_control/schemas.py,existing-backend-and-shared-analysis,221,2,DJ Control schemas.
app/modules/dj_control/sequencer.py,existing-backend-and-shared-analysis,256,0,Energy-curve sequencer for street-dance DJ sets.
app/modules/dj_control/spotify_mix/__init__.py,existing-backend-and-shared-analysis,1,1,Spotify Mix feature implementation package.
app/modules/dj_control/spotify_mix/beat_bar_points.py,existing-backend-and-shared-analysis,635,1,MP3-only beat/bar transition point selection for EQ-band mixing.
app/modules/dj_control/spotify_mix/bpm_grouping.py,existing-backend-and-shared-analysis,51,1,BPM grouping utilities for Smart Reorder.
app/modules/dj_control/spotify_mix/camelot_distance.py,existing-backend-and-shared-analysis,85,3,Camelot Wheel distance calculation.
app/modules/dj_control/spotify_mix/compatibility_score.py,existing-backend-and-shared-analysis,146,1,Spotify Mix compatibility scoring algorithm.
app/modules/dj_control/spotify_mix/eq_transitions.py,existing-backend-and-shared-analysis,199,1,Spotify Mix EQ transition curve generation.
app/modules/dj_control/spotify_mix/filter_transitions.py,existing-backend-and-shared-analysis,170,1,Spotify Mix filter transition curve generation.
app/modules/dj_control/spotify_mix/loudness.py,existing-backend-and-shared-analysis,135,2,LUFS loudness normalization.
app/modules/dj_control/spotify_mix/phrase_alignment.py,existing-backend-and-shared-analysis,170,2,Phrase alignment for transition point selection.
app/modules/dj_control/spotify_mix/presets.py,existing-backend-and-shared-analysis,102,1,Spotify Mix preset definitions.
app/modules/dj_control/spotify_mix/section_features.py,existing-backend-and-shared-analysis,339,4,Section-level feature extraction for local Spotify-style mixing.
app/modules/dj_control/spotify_mix/section_matcher.py,existing-backend-and-shared-analysis,613,3,Section-matching transition planner for local Spotify-style mixing.
app/modules/dj_control/spotify_mix/section_scorer.py,existing-backend-and-shared-analysis,216,1,Score section pairs for local Spotify-style transition planning.
app/modules/dj_control/spotify_mix/smart_reorder.py,existing-backend-and-shared-analysis,115,1,Smart Reorder: Camelot Wheel shortest-path sorting.
app/modules/dj_control/spotify_mix/time_stretch.py,existing-backend-and-shared-analysis,103,2,Time stretching using phase vocoder for BPM matching without pitch change.
app/modules/dj_control/spotify_mix/transition_selector.py,existing-backend-and-shared-analysis,75,1,Auto-mode transition selector.
