class,precision,recall,f1,support
afro_afrobeats,1.0,0.8,0.8888888888888888,5
amapiano,0.8333333333333334,1.0,0.9090909090909091,5
baile_funk,1.0,0.4,0.5714285714285714,5
boombap,0.6,0.6,0.6,5
breakbeat,0.8333333333333334,1.0,0.9090909090909091,5
dancehall,1.0,1.0,1.0,5
disco,1.0,1.0,1.0,5
funk,1.0,0.6,0.75,5
grime_uk_hiphop,0.5555555555555556,1.0,0.7142857142857143,5
house,0.6666666666666666,0.8,0.7272727272727273,5
jazz_hiphop,0.6666666666666666,0.8,0.7272727272727273,5
jersey_club,0.8,0.8,0.8,5
trap,1.0,0.6,0.75,5
