feature,top1_accuracy,balanced_accuracy,macro_f1,top3_recall,fold_macro_f1_std
track_log2_bpm,0.24615384615384617,0.24615384615384617,0.22116131731516345,0.6461538461538462,0.06847882236448019
segment_duration,0.23076923076923078,0.23076923076923078,0.2166421813480637,0.46153846153846156,0.055730547302150164
bandwidth_std,0.23076923076923078,0.2307692307692308,0.21231546231546233,0.5538461538461539,0.11511553600929592
centroid_mean,0.24615384615384617,0.24615384615384614,0.18623598623598625,0.3384615384615385,0.04391259585757473
pulse_phase_3,0.18461538461538463,0.18461538461538465,0.17194968309026665,0.36923076923076925,0.05247183256153143
rolloff_std,0.2,0.20000000000000004,0.16980135249366016,0.49230769230769234,0.061349228827580767
track_danceability,0.18461538461538463,0.18461538461538465,0.15874125874125872,0.4,0.04191739160069696
pulse_phase_4,0.18461538461538463,0.1846153846153846,0.1573806310648416,0.38461538461538464,0.08062207242838342
band_bass,0.16923076923076924,0.16923076923076924,0.14310305079535846,0.4,0.032911532443572915
pulse_phase_7,0.16923076923076924,0.1692307692307692,0.13806706114398423,0.35384615384615387,0.05258597243874397
contrast_4,0.2,0.20000000000000004,0.13793356402052054,0.46153846153846156,0.052321656721010724
pulse_phase_13,0.16923076923076924,0.16923076923076924,0.13425634194864966,0.36923076923076925,0.03497517183611742
contrast_0,0.16923076923076924,0.16923076923076924,0.13050645007166745,0.3230769230769231,0.028364254378359165
rms_mean,0.16923076923076924,0.16923076923076924,0.1278294355217432,0.3076923076923077,0.009358149967634042
track_energy,0.16923076923076924,0.16923076923076924,0.1256410256410256,0.3076923076923077,0.033008089005706835
chroma_5,0.13846153846153847,0.13846153846153847,0.12320399560218563,0.3384615384615385,0.04524001845951173
contrast_2,0.18461538461538463,0.1846153846153846,0.12143401983218917,0.4,0.051797304943168955
centroid_std,0.13846153846153847,0.13846153846153847,0.10863858363858363,0.4153846153846154,0.029648841311958603
band_mid,0.15384615384615385,0.15384615384615383,0.10861360861360862,0.35384615384615387,0.02867967542857865
crest_factor,0.15384615384615385,0.15384615384615385,0.10687188628365099,0.3384615384615385,0.02040255226170518
contrast_6,0.15384615384615385,0.15384615384615385,0.10487338748208314,0.3384615384615385,0.06205648428768223
pulse_phase_5,0.13846153846153847,0.13846153846153847,0.10474141243372012,0.2923076923076923,0.0339123610030739
pulse_phase_1,0.15384615384615385,0.15384615384615388,0.1042690843595821,0.4461538461538462,0.042139775561244895
pulse_phase_6,0.12307692307692308,0.12307692307692308,0.10418803418803418,0.3384615384615385,0.027240208333838202
band_sub,0.13846153846153847,0.13846153846153844,0.10374894085301324,0.3230769230769231,0.029531618221747453
contrast_5,0.16923076923076924,0.16923076923076924,0.09995004995004994,0.4307692307692308,0.0251432278742687
pulse_phase_12,0.13846153846153847,0.13846153846153844,0.09919695688926457,0.35384615384615387,0.018565349066362907
band_high,0.12307692307692308,0.12307692307692307,0.09780219780219782,0.36923076923076925,0.05758223990782456
pulse_phase_14,0.13846153846153847,0.13846153846153847,0.09767425556899242,0.35384615384615387,0.03370697383830102
pulse_phase_10,0.15384615384615385,0.15384615384615385,0.09574425574425575,0.3384615384615385,0.034890302322216175
chroma_4,0.13846153846153847,0.13846153846153844,0.09358974358974358,0.35384615384615387,0.04260988125349734
zcr_mean,0.09230769230769231,0.0923076923076923,0.09224279993510763,0.4153846153846154,0.06954094215944594
onset_mean,0.1076923076923077,0.10769230769230768,0.0913214990138067,0.35384615384615387,0.024552202566930196
onset_std,0.09230769230769231,0.0923076923076923,0.0876068376068376,0.4153846153846154,0.029736957704469748
flatness_std,0.1076923076923077,0.1076923076923077,0.08292190900886554,0.27692307692307694,0.018426786289645978
track_tempo_cv,0.13846153846153847,0.13846153846153844,0.08272752888137504,0.2923076923076923,0.06699033523918589
pulse_phase_15,0.1076923076923077,0.10769230769230768,0.08201029739491278,0.3076923076923077,0.10543264237218256
contrast_1,0.12307692307692308,0.12307692307692307,0.08145228762974188,0.27692307692307694,0.05133173940275456
chroma_1,0.09230769230769231,0.0923076923076923,0.07948717948717948,0.27692307692307694,0.03529717922547745
onset_p90,0.1076923076923077,0.10769230769230768,0.07827727827727828,0.35384615384615387,0.033113228952350256
contrast_3,0.12307692307692308,0.12307692307692308,0.07595622075260085,0.4,0.038060885585704314
chroma_7,0.13846153846153847,0.13846153846153844,0.07347319347319346,0.2923076923076923,0.02404417340128053
pulse_phase_8,0.1076923076923077,0.10769230769230768,0.07135962077138548,0.26153846153846155,0.05358109526891574
zcr_std,0.09230769230769231,0.0923076923076923,0.07025641025641026,0.3230769230769231,0.05796498948998974
rolloff_mean,0.1076923076923077,0.1076923076923077,0.06956474897651369,0.3384615384615385,0.009707535633846619
flatness_mean,0.09230769230769231,0.09230769230769233,0.0692002442002442,0.4153846153846154,0.04418973416083346
bandwidth_mean,0.1076923076923077,0.10769230769230768,0.06607778186725555,0.3384615384615385,0.03750109016381552
chroma_8,0.1076923076923077,0.10769230769230768,0.06514041514041514,0.27692307692307694,0.03390889884492996
pulse_phase_0,0.07692307692307693,0.07692307692307693,0.0641025641025641,0.26153846153846155,0.024049522059687634
rms_std,0.07692307692307693,0.07692307692307693,0.061764705882352944,0.26153846153846155,0.042263963415069064
pulse_phase_11,0.09230769230769231,0.09230769230769233,0.06167663407482413,0.27692307692307694,0.025706353200765936
pulse_phase_2,0.09230769230769231,0.09230769230769233,0.06144704192242392,0.3230769230769231,0.025536646521848835
pulse_phase_9,0.09230769230769231,0.09230769230769233,0.06097961867192636,0.2923076923076923,0.04638771041531552
chroma_11,0.09230769230769231,0.0923076923076923,0.06041958041958041,0.2,0.02522500704634279
chroma_entropy,0.07692307692307693,0.07692307692307693,0.06012961397576781,0.2153846153846154,0.035236706817745794
chroma_10,0.07692307692307693,0.07692307692307693,0.05586080586080586,0.2153846153846154,0.034808825433633395
chroma_0,0.06153846153846154,0.06153846153846154,0.054251012145748984,0.23076923076923078,0.04735488979256321
rms_dynamic,0.06153846153846154,0.06153846153846154,0.053669677151458525,0.3076923076923077,0.009658025111102156
track_beat_confidence,0.07692307692307693,0.07692307692307693,0.0486013986013986,0.3076923076923077,0.031094564732167335
chroma_3,0.09230769230769231,0.09230769230769233,0.041025641025641026,0.23076923076923078,0.035040129150554995
chroma_6,0.06153846153846154,0.06153846153846154,0.034859490354846395,0.26153846153846155,0.0009252408160090169
chroma_2,0.06153846153846154,0.06153846153846154,0.03097285067873303,0.2153846153846154,0.014917303211191238
chroma_9,0.046153846153846156,0.04615384615384616,0.030808678500986196,0.2153846153846154,0.014919666869088312
meter_4,0.07692307692307693,0.07692307692307693,0.020461757303862568,0.2153846153846154,0.003561746434214367
meter_3,0.07692307692307693,0.07692307692307693,0.010989010989010988,0.23076923076923078,0.003561746434214367
