feature,validation_mode,selection_metric,selection_value,f1,sample_count,calibration_status,main_accuracy_gt_0_50,sensitivity_accuracy_and_f1_gt_0_50
harmony.chord_change_activity,binary,accuracy,0.9213,0.9369,89,validated,True,True
harmony.harmonic_complexity,,,,,,no_heldout_accuracy_record,False,False
harmony.jazz_soul_harmony,,,,,,no_heldout_accuracy_record,False,False
low_frequency.808_timbre_candidate,binary,accuracy,0.6667,0.7018,51,failed_validation,True,True
low_frequency.bass_kick_interlock,,,,,,no_heldout_accuracy_record,False,False
low_frequency.bass_octave_pattern,,,,,,no_heldout_accuracy_record,False,False
low_frequency.bass_pitch_stability,,,,,,no_heldout_accuracy_record,False,False
low_frequency.bass_reply_pattern,,,,,,no_heldout_accuracy_record,False,False
low_frequency.bass_riff_repetition,binary,accuracy,0.7251,0.8017,171,failed_validation,True,True
low_frequency.bass_slide,,,,,,no_heldout_accuracy_record,False,False
low_frequency.bass_staccato_ratio,binary,accuracy,0.7719,0.0,171,failed_validation,True,False
low_frequency.bass_syncopation,binary,accuracy,0.9415,0.8387,171,failed_validation,True,True
low_frequency.kick_bass_alignment,,,,,,no_heldout_accuracy_record,False,False
low_frequency.log_drum,,,,,,no_heldout_accuracy_record,False,False
low_frequency.log_drum_candidate,,,,,,no_heldout_accuracy_record,False,False
low_frequency.low_frequency_melody,,,,,,no_heldout_accuracy_record,False,False
low_frequency.low_percussive_bass_candidate,,,,,,no_heldout_accuracy_record,False,False
low_frequency.sliding_808,,,,,,no_heldout_accuracy_record,False,False
low_frequency.sliding_bass_candidate,,,,,,no_heldout_accuracy_record,False,False
low_frequency.sub_808,,,,,,no_heldout_accuracy_record,False,False
low_frequency.sub_bass,,,,,,no_heldout_accuracy_record,False,False
low_frequency.sustained_harmonic_bass_candidate,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.continuous_high_percussion,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.full_snare,binary,accuracy,0.3854,0.4685,288,failed_validation,False,False
percussion_timbre.hand_drum_family,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.low_pitched_drum,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.mid_pitched_drum,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.repeated_tonal_motif,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.short_metallic,binary,accuracy,0.5085,0.0493,1176,failed_validation,True,False
percussion_timbre.short_rim_snap,binary,accuracy,0.5,0.0,288,failed_validation,False,False
percussion_timbre.sustained_metallic,binary,accuracy,0.5102,0.6216,1176,failed_validation,True,True
percussion_timbre.tonal_percussion,,,,,,no_heldout_accuracy_record,False,False
percussion_timbre.wide_clap,,,,,,no_heldout_accuracy_record,False,False
production.acoustic_production,,,,,,no_heldout_accuracy_record,False,False
production.brightness,,,,,,no_heldout_accuracy_record,False,False
production.dark_timbre,,,,,,no_heldout_accuracy_record,False,False
production.distortion,,,,,,no_heldout_accuracy_record,False,False
production.electronic_production,,,,,,no_heldout_accuracy_record,False,False
production.lofi_texture,,,,,,no_heldout_accuracy_record,False,False
production.rage_synth,,,,,,no_heldout_accuracy_record,False,False
production.rage_synth_candidate,,,,,,no_heldout_accuracy_record,False,False
production.sample_texture,,,,,,no_heldout_accuracy_record,False,False
production.sampled_loop_tendency,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.afro_syncopation,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.backbeat_2_4,binary,accuracy,0.9571,0.9663,70,validated,True,True
rhythm_grammar.breakbeat,binary,accuracy,0.9143,0.8846,70,validated,True,True
rhythm_grammar.dembow,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.drill_hat,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.drum_loop_repetition,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.drum_machine_consistency,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.four_floor_stability,binary,accuracy,0.9714,0.0,70,failed_validation,True,False
rhythm_grammar.four_on_floor,binary,accuracy,0.9286,0.7368,70,failed_validation,True,True
rhythm_grammar.halftime_snare_3,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.jersey_club,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.offbeat_open_hat,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.swing,,,,,,no_heldout_accuracy_record,False,False
rhythm_grammar.tamborzao,binary,accuracy,0.8714,0.8475,70,validated,True,True
rhythm_grammar.timing_quantization,binary,accuracy,0.7857,0.2857,70,failed_validation,True,False
rhythm_grammar.tresillo,binary,accuracy,0.9286,0.9558,70,validated,True,True
rhythm_grammar.two_step,binary,accuracy,0.9571,0.9333,70,validated,True,True
vocal_delivery.melodic_contour,binary,accuracy,0.96,0.913,100,validated,True,True
vocal_delivery.pitch_sustain_ratio,continuous,within_tolerance_fraction,0.91,,100,validated,True,True
vocal_delivery.rap_delivery,,,,,,no_heldout_accuracy_record,False,False
vocal_delivery.singing,,,,,,no_heldout_accuracy_record,False,False
vocal_delivery.syllabic_activity,,,,,,no_heldout_accuracy_record,False,False
vocal_delivery.vocal_chop,,,,,,no_heldout_accuracy_record,False,False
vocal_delivery.vocal_chop_repetition,,,,,,no_heldout_accuracy_record,False,False
vocal_delivery.vocal_density,binary,accuracy,0.9465,0.9428,365448,validated,True,True
vocal_delivery.vocal_pitch_range,binary,accuracy,0.92,0.9412,100,validated,True,True
