method,class,precision,recall,f1,support
traditional_literal_acc_gt_0_50,afro_afrobeats,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,amapiano,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,baile_funk,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,boombap,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,breakbeat,0.5,0.4,0.4444444444444444,5
traditional_literal_acc_gt_0_50,dancehall,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,disco,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,funk,0.06521739130434782,0.6,0.11764705882352941,5
traditional_literal_acc_gt_0_50,grime_uk_hiphop,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,house,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,jazz_hiphop,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,jersey_club,0.0,0.0,0.0,5
traditional_literal_acc_gt_0_50,trap,0.0,0.0,0.0,5
traditional_acc_gt_0_50,afro_afrobeats,0.0,0.0,0.0,5
traditional_acc_gt_0_50,amapiano,0.0,0.0,0.0,5
traditional_acc_gt_0_50,baile_funk,0.0,0.0,0.0,5
traditional_acc_gt_0_50,boombap,1.0,0.2,0.3333333333333333,5
traditional_acc_gt_0_50,breakbeat,0.5,0.4,0.4444444444444444,5
traditional_acc_gt_0_50,dancehall,0.0,0.0,0.0,5
traditional_acc_gt_0_50,disco,0.0,0.0,0.0,5
traditional_acc_gt_0_50,funk,0.06976744186046512,0.6,0.125,5
traditional_acc_gt_0_50,grime_uk_hiphop,0.0,0.0,0.0,5
traditional_acc_gt_0_50,house,0.0,0.0,0.0,5
traditional_acc_gt_0_50,jazz_hiphop,0.0,0.0,0.0,5
traditional_acc_gt_0_50,jersey_club,0.0,0.0,0.0,5
traditional_acc_gt_0_50,trap,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,afro_afrobeats,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,amapiano,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,baile_funk,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,boombap,1.0,0.2,0.3333333333333333,5
traditional_acc_and_f1_gt_0_50,breakbeat,0.5,0.4,0.4444444444444444,5
traditional_acc_and_f1_gt_0_50,dancehall,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,disco,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,funk,0.0967741935483871,0.6,0.16666666666666666,5
traditional_acc_and_f1_gt_0_50,grime_uk_hiphop,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,house,0.125,0.2,0.15384615384615385,5
traditional_acc_and_f1_gt_0_50,jazz_hiphop,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,jersey_club,0.0,0.0,0.0,5
traditional_acc_and_f1_gt_0_50,trap,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,afro_afrobeats,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,amapiano,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,baile_funk,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,boombap,0.4444444444444444,0.8,0.5714285714285714,5
traditional_all69_raw_diagnostic,breakbeat,0.75,0.6,0.6666666666666666,5
traditional_all69_raw_diagnostic,dancehall,1.0,0.8,0.8888888888888888,5
traditional_all69_raw_diagnostic,disco,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,funk,0.3333333333333333,0.2,0.25,5
traditional_all69_raw_diagnostic,grime_uk_hiphop,0.5,0.2,0.2857142857142857,5
traditional_all69_raw_diagnostic,house,0.16129032258064516,1.0,0.2777777777777778,5
traditional_all69_raw_diagnostic,jazz_hiphop,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,jersey_club,0.0,0.0,0.0,5
traditional_all69_raw_diagnostic,trap,0.18181818181818182,0.4,0.25,5
embedding_logreg,afro_afrobeats,1.0,1.0,1.0,5
embedding_logreg,amapiano,1.0,1.0,1.0,5
embedding_logreg,baile_funk,0.75,0.6,0.6666666666666666,5
embedding_logreg,boombap,0.5,0.4,0.4444444444444444,5
embedding_logreg,breakbeat,0.8333333333333334,1.0,0.9090909090909091,5
embedding_logreg,dancehall,1.0,1.0,1.0,5
embedding_logreg,disco,1.0,1.0,1.0,5
embedding_logreg,funk,1.0,0.6,0.75,5
embedding_logreg,grime_uk_hiphop,0.5555555555555556,1.0,0.7142857142857143,5
embedding_logreg,house,0.75,0.6,0.6666666666666666,5
embedding_logreg,jazz_hiphop,0.6,0.6,0.6,5
embedding_logreg,jersey_club,0.8,0.8,0.8,5
embedding_logreg,trap,0.6,0.6,0.6,5
fusion_svm,afro_afrobeats,1.0,0.8,0.8888888888888888,5
fusion_svm,amapiano,0.8333333333333334,1.0,0.9090909090909091,5
fusion_svm,baile_funk,1.0,0.4,0.5714285714285714,5
fusion_svm,boombap,0.6,0.6,0.6,5
fusion_svm,breakbeat,0.8333333333333334,1.0,0.9090909090909091,5
fusion_svm,dancehall,1.0,1.0,1.0,5
fusion_svm,disco,1.0,1.0,1.0,5
fusion_svm,funk,1.0,0.6,0.75,5
fusion_svm,grime_uk_hiphop,0.5555555555555556,1.0,0.7142857142857143,5
fusion_svm,house,0.6666666666666666,0.8,0.7272727272727273,5
fusion_svm,jazz_hiphop,0.6666666666666666,0.8,0.7272727272727273,5
fusion_svm,jersey_club,0.8,0.8,0.8,5
fusion_svm,trap,1.0,0.6,0.75,5
technical_logreg,afro_afrobeats,0.4,0.4,0.4,5
technical_logreg,amapiano,0.3333333333333333,0.4,0.36363636363636365,5
technical_logreg,baile_funk,0.0,0.0,0.0,5
technical_logreg,boombap,0.25,0.2,0.2222222222222222,5
technical_logreg,breakbeat,0.4,0.4,0.4,5
technical_logreg,dancehall,0.4444444444444444,0.8,0.5714285714285714,5
technical_logreg,disco,0.5714285714285714,0.8,0.6666666666666666,5
technical_logreg,funk,0.4,0.4,0.4,5
technical_logreg,grime_uk_hiphop,0.6666666666666666,0.8,0.7272727272727273,5
technical_logreg,house,0.3333333333333333,0.2,0.25,5
technical_logreg,jazz_hiphop,0.75,0.6,0.6666666666666666,5
technical_logreg,jersey_club,0.5,0.2,0.2857142857142857,5
technical_logreg,trap,0.75,0.6,0.6666666666666666,5
